framework,start_step,end_step,mean_reward
twinkle,1,10,0.4031250
twinkle,11,20,0.3484375
twinkle,21,30,0.4046875
twinkle,31,40,0.5671875
twinkle,41,50,0.6906250
twinkle,51,60,0.6890625
twinkle,61,70,0.7859375
twinkle,71,80,0.8218750
twinkle,81,90,0.8671875
twinkle,91,100,0.9000000
twinkle,101,110,0.9218750
twinkle,111,120,0.8906250
twinkle,121,125,0.8968750
verl,1,10,0.3437500
verl,11,20,0.3531250
verl,21,30,0.3656250
verl,31,40,0.4250000
verl,41,50,0.4625000
verl,51,60,0.3890620
verl,61,70,0.4125000
verl,71,80,0.4046870
verl,81,90,0.3984380
verl,91,100,0.3765630
verl,101,110,0.4187500
verl,111,120,0.3656250
verl,121,125,0.4406250
