step,twinkle_reward,verl_reward,twinkle_reward_ma10,verl_reward_ma10
1,0.34375000,0.21875000,0.34375000,0.21875000
2,0.29687500,0.25000000,0.32031250,0.23437500
3,0.31250000,0.31250000,0.31770833,0.26041667
4,0.34375000,0.31250000,0.32421875,0.27343750
5,0.57812500,0.57812500,0.37500000,0.33437500
6,0.34375000,0.39062500,0.36979167,0.34375000
7,0.51562500,0.46875000,0.39062500,0.36160714
8,0.37500000,0.32812500,0.38867188,0.35742188
9,0.31250000,0.39062500,0.38020833,0.36111111
10,0.46875000,0.43750000,0.38906250,0.36875000
11,0.29687500,0.32812500,0.38437500,0.37968750
12,0.29687500,0.28125000,0.38437500,0.38281250
13,0.42187500,0.37500000,0.39531250,0.38906250
14,0.32812500,0.35937500,0.39375000,0.39375000
15,0.23437500,0.21875000,0.35937500,0.35781250
16,0.48437500,0.40625000,0.37343750,0.35937500
17,0.23437500,0.26562500,0.34531250,0.33906250
18,0.37500000,0.26562500,0.34531250,0.33281250
19,0.29687500,0.26562500,0.34375000,0.32031250
20,0.20312500,0.28125000,0.31718750,0.30468750
21,0.21875000,0.25000000,0.30937500,0.29687500
22,0.43750000,0.42187500,0.32343750,0.31093750
23,0.28125000,0.15625000,0.30937500,0.28906250
24,0.62500000,0.57812500,0.33906250,0.31093750
25,0.35937500,0.37500000,0.35156250,0.32656250
26,0.25000000,0.18750000,0.32812500,0.30468750
27,0.50000000,0.35937500,0.35468750,0.31406250
28,0.50000000,0.43750000,0.36718750,0.33125000
29,0.29687500,0.43750000,0.36718750,0.34843750
30,0.40625000,0.29687500,0.38750000,0.35000000
31,0.42187500,0.35937500,0.40781250,0.36093750
32,0.42187500,0.35937500,0.40625000,0.35468750
33,0.64062500,0.42187500,0.44218750,0.38125000
34,0.56250000,0.53125000,0.43593750,0.37656250
35,0.48437500,0.45312500,0.44843750,0.38437500
36,0.51562500,0.37500000,0.47500000,0.40312500
37,0.57812500,0.43750000,0.48281250,0.41093750
38,0.51562500,0.43750000,0.48437500,0.41093750
39,0.57812500,0.48437500,0.51250000,0.41562500
40,0.67187500,0.53125000,0.53906250,0.43906250
41,0.56250000,0.48437500,0.55312500,0.45156250
42,0.46875000,0.29687500,0.55781250,0.44531250
43,0.62500000,0.51562500,0.55625000,0.45468750
44,0.67187500,0.59375000,0.56718750,0.46093750
45,0.73437500,0.45312500,0.59218750,0.46093750
46,0.71875000,0.48437500,0.61250000,0.47187500
47,0.70312500,0.46875000,0.62500000,0.47500000
48,0.60937500,0.43750000,0.63437500,0.47500000
49,0.67187500,0.54687500,0.64375000,0.48125000
50,0.56250000,0.34375000,0.63281250,0.46250000
51,0.68750000,0.29687500,0.64531250,0.44375000
52,0.67187500,0.51562500,0.66562500,0.46562500
53,0.62500000,0.40625000,0.66562500,0.45468750
54,0.59375000,0.29687500,0.65781250,0.42500000
55,0.64062500,0.40625000,0.64843750,0.42031250
56,0.70312500,0.37500000,0.64687500,0.40937500
57,0.70312500,0.25000000,0.64687500,0.38750000
58,0.51562500,0.31250000,0.63750000,0.37500000
59,0.84375000,0.56250000,0.65468750,0.37656250
60,0.67187500,0.37500000,0.66562500,0.37968750
61,0.85937500,0.56250000,0.68281250,0.40625000
62,0.68750000,0.31250000,0.68437500,0.38593750
63,0.60937500,0.28125000,0.68281250,0.37343750
64,0.70312500,0.46875000,0.69375000,0.39062500
65,0.73437500,0.34375000,0.70312500,0.38437500
66,0.89062500,0.42187500,0.72187500,0.38906250
67,0.76562500,0.50000000,0.72812500,0.41406250
68,0.73437500,0.32812500,0.75000000,0.41562500
69,0.79687500,0.54687500,0.74531250,0.41406250
70,0.57812500,0.17187500,0.73593750,0.39375000
71,0.70312500,0.39062500,0.72031250,0.37656250
72,0.79687500,0.40625000,0.73125000,0.38593750
73,0.87500000,0.43750000,0.75781250,0.40156250
74,0.87500000,0.56250000,0.77500000,0.41093750
75,0.70312500,0.29687500,0.77187500,0.40625000
76,0.81250000,0.39062500,0.76406250,0.40312500
77,0.71875000,0.26562500,0.75937500,0.37968750
78,0.84375000,0.42187500,0.77031250,0.38906250
79,0.71875000,0.42187500,0.76250000,0.37656250
80,0.85937500,0.39062500,0.79062500,0.39843750
81,0.75000000,0.40625000,0.79531250,0.40000000
82,0.90625000,0.35937500,0.80625000,0.39531250
83,0.79687500,0.45312500,0.79843750,0.39687500
84,0.73437500,0.40625000,0.78437500,0.38125000
85,0.92187500,0.42187500,0.80625000,0.39375000
86,0.84375000,0.46875000,0.80937500,0.40156250
87,0.71875000,0.35937500,0.80937500,0.41093750
88,0.76562500,0.42187500,0.80156250,0.41093750
89,0.81250000,0.34375000,0.81093750,0.40312500
90,0.98437500,0.46875000,0.82343750,0.41093750
91,0.87500000,0.39062500,0.83593750,0.40937500
92,0.85937500,0.37500000,0.83125000,0.41093750
93,0.81250000,0.29687500,0.83281250,0.39531250
94,0.90625000,0.54687500,0.85000000,0.40937500
95,0.85937500,0.53125000,0.84375000,0.42031250
96,0.96875000,0.64062500,0.85625000,0.43750000
97,0.84375000,0.32812500,0.86875000,0.43437500
98,0.84375000,0.25000000,0.87656250,0.41718750
99,0.92187500,0.21875000,0.88750000,0.40468750
100,0.92187500,0.34375000,0.88125000,0.39218750
101,0.98437500,0.46875000,0.89218750,0.40000000
102,0.93750000,0.65625000,0.90000000,0.42812500
103,0.96875000,0.39062500,0.91562500,0.43750000
104,0.93750000,0.37500000,0.91875000,0.42031250
105,0.87500000,0.34375000,0.92031250,0.40156250
106,0.87500000,0.45312500,0.91093750,0.38281250
107,0.87500000,0.32812500,0.91406250,0.38281250
108,0.92187500,0.54687500,0.92187500,0.41250000
109,0.89062500,0.32812500,0.91875000,0.42343750
110,0.92187500,0.32812500,0.91875000,0.42187500
111,0.93750000,0.31250000,0.91406250,0.40625000
112,0.68750000,0.28125000,0.88906250,0.36875000
113,0.79687500,0.50000000,0.87187500,0.37968750
114,0.87500000,0.35937500,0.86562500,0.37812500
115,0.90625000,0.25000000,0.86875000,0.36875000
116,0.81250000,0.35937500,0.86250000,0.35937500
117,0.92187500,0.40625000,0.86718750,0.36718750
118,0.98437500,0.39062500,0.87343750,0.35156250
119,0.98437500,0.31250000,0.88281250,0.35000000
120,0.90625000,0.37500000,0.88125000,0.35468750
121,0.85937500,0.32812500,0.87343750,0.35625000
122,0.93750000,0.50000000,0.89843750,0.37812500
123,0.93750000,0.43750000,0.91250000,0.37187500
124,0.90625000,0.46875000,0.91562500,0.38281250
125,0.89062500,0.40625000,0.91406250,0.39843750
