step,line,chars,budget_hit_chars_ge3500,answer_anywhere,answer_last500,garbled,saved_reward,recomputed_reward
1,1,3472,0,0,0,0,0.0,0.0
1,2,5240,1,0,0,1,0.0,0.0
1,3,2992,0,0,0,0,0.0,0.0
1,4,5247,1,0,0,1,0.0,0.0
1,5,3292,0,0,0,0,0.0,0.0
1,6,5036,1,0,0,1,0.0,0.0
1,7,4022,1,0,0,0,0.0,0.0
1,8,5029,1,0,0,1,0.0,0.0
1,9,4157,1,0,0,0,0.0,0.0
1,10,5258,1,0,0,1,0.0,0.0
1,11,4377,1,0,0,0,0.0,0.0
1,12,5152,1,0,0,1,0.0,0.0
1,13,1800,0,1,1,0,1.0,1.0
1,14,5227,1,0,0,1,0.0,0.0
1,15,3728,1,0,0,0,0.0,0.0
1,16,5375,1,1,0,1,0.0,0.0
1,17,1129,0,1,1,0,1.0,1.0
1,18,5154,1,1,0,1,0.0,0.0
1,19,1575,0,1,1,0,1.0,1.0
1,20,5213,1,0,0,1,0.0,0.0
1,21,3031,0,0,0,0,0.0,0.0
1,22,5247,1,1,0,1,0.0,0.0
1,23,3202,0,0,0,0,0.0,0.0
1,24,5326,1,0,0,1,0.0,0.0
1,25,1998,0,1,1,0,1.0,1.0
1,26,5038,1,0,0,1,0.0,0.0
1,27,1911,0,1,1,0,1.0,1.0
1,28,5026,1,0,0,1,0.0,0.0
1,29,3595,1,0,0,0,0.0,0.0
1,30,5369,1,0,0,1,0.0,0.0
1,31,3340,0,0,0,0,0.0,0.0
1,32,5291,1,0,0,1,0.0,0.0
1,33,3162,0,0,0,0,0.0,0.0
1,34,5088,1,0,0,1,0.0,0.0
1,35,3039,0,0,0,0,0.0,0.0
1,36,5322,1,0,0,1,0.0,0.0
1,37,3239,0,1,0,0,0.0,0.0
1,38,5275,1,0,0,1,0.0,0.0
1,39,3029,0,1,1,0,1.0,1.0
1,40,5219,1,0,0,1,0.0,0.0
1,41,2094,0,1,1,0,1.0,1.0
1,42,5191,1,1,0,1,0.0,0.0
1,43,1934,0,1,1,0,1.0,1.0
1,44,5297,1,1,0,1,0.0,0.0
1,45,2588,0,0,0,0,0.0,0.0
1,46,5253,1,0,0,1,0.0,0.0
1,47,2775,0,0,0,0,0.0,0.0
1,48,5276,1,0,0,1,0.0,0.0
1,49,3503,1,1,0,0,0.0,0.0
1,50,5133,1,0,0,1,0.0,0.0
1,51,3473,0,1,0,0,0.0,0.0
1,52,5048,1,0,0,1,0.0,0.0
1,53,3247,0,1,1,0,1.0,1.0
1,54,5189,1,0,0,1,0.0,0.0
1,55,3180,0,1,0,0,0.0,0.0
1,56,5200,1,0,0,1,0.0,0.0
1,57,3868,1,0,0,0,0.0,0.0
1,58,5181,1,0,0,1,0.0,0.0
1,59,3921,1,0,0,0,0.0,0.0
1,60,5014,1,0,0,1,0.0,0.0
1,61,3259,0,0,0,0,0.0,0.0
1,62,5132,1,0,0,1,0.0,0.0
1,63,3375,0,1,1,0,1.0,1.0
1,64,5317,1,0,0,1,0.0,0.0
2,1,4036,1,0,0,0,0.0,0.0
2,2,3869,1,0,0,0,0.0,0.0
2,3,4208,1,0,0,0,0.0,0.0
2,4,4182,1,0,0,0,0.0,0.0
