step,count,reward_mean,budget_hit_rate,answer_anywhere_rate,answer_last500_rate,garbled_rate,avg_chars
1,64,0.15625,0.625,0.296875,0.15625,0.5,4119.84375
2,64,0.296875,0.359375,0.4375,0.3125,0,3353.609375
3,64,0.34375,0.328125,0.421875,0.34375,0,3210.21875
4,64,0.375,0.453125,0.546875,0.40625,0,3406.90625
5,64,0.484375,0.25,0.59375,0.5,0,2865.359375
6,64,0.296875,0.375,0.390625,0.296875,0.015625,3124.90625
7,64,0.515625,0.25,0.609375,0.53125,0,3058.09375
8,64,0.328125,0.359375,0.453125,0.359375,0,3312.03125
9,64,0.296875,0.453125,0.421875,0.296875,0,3332.5
10,64,0.46875,0.265625,0.578125,0.46875,0,3204.34375
11,64,0.3125,0.5,0.421875,0.34375,0.046875,3423.515625
12,64,0.34375,0.21875,0.359375,0.34375,0,2954.296875
13,64,0.40625,0.171875,0.46875,0.40625,0,3028.046875
14,64,0.390625,0.25,0.46875,0.390625,0,3132.875
15,64,0.1875,0.421875,0.3125,0.25,0,3296.453125
16,64,0.453125,0.21875,0.59375,0.453125,0,3088.09375
17,64,0.328125,0.46875,0.40625,0.328125,0,3337.546875
18,64,0.296875,0.265625,0.359375,0.296875,0,3196.203125
19,64,0.28125,0.421875,0.375,0.28125,0,3194.734375
20,64,0.21875,0.0625,0.28125,0.21875,0,2966.5
21,64,0.203125,0.4375,0.28125,0.21875,0,3333.28125
22,64,0.515625,0.390625,0.671875,0.515625,0,3209.796875
23,64,0.28125,0.46875,0.328125,0.28125,0,3361.25
24,64,0.515625,0.1875,0.65625,0.515625,0,3113.375
25,64,0.28125,0.421875,0.4375,0.28125,0,3293.515625
26,64,0.265625,0.328125,0.359375,0.28125,0,3306.796875
27,64,0.4375,0.296875,0.53125,0.453125,0,2989.8125
28,64,0.5,0.1875,0.578125,0.515625,0,3013.296875
29,64,0.375,0.28125,0.4375,0.375,0,3146.15625
30,64,0.359375,0.296875,0.453125,0.359375,0,3218.75
31,64,0.375,0.328125,0.453125,0.375,0,3052.78125
32,64,0.4375,0.375,0.515625,0.4375,0,3247.203125
33,64,0.5,0.25,0.5625,0.5,0,2874.78125
34,64,0.4375,0.328125,0.546875,0.46875,0,3129.390625
35,64,0.46875,0.140625,0.59375,0.484375,0,2949.171875
36,64,0.375,0.21875,0.515625,0.390625,0,3062.46875
37,64,0.46875,0.3125,0.59375,0.5,0,3139.515625
38,64,0.359375,0.234375,0.4375,0.359375,0,3122.1875
39,64,0.421875,0.34375,0.484375,0.4375,0,3224.328125
40,64,0.484375,0.203125,0.625,0.5,0,2955.296875
41,64,0.421875,0.34375,0.578125,0.4375,0,3170.734375
42,64,0.296875,0.40625,0.4375,0.3125,0,3324.515625
43,64,0.515625,0.125,0.640625,0.515625,0,2833
44,64,0.5625,0.21875,0.671875,0.578125,0,2835.046875
45,64,0.390625,0.359375,0.5625,0.40625,0.015625,3165.1875
